,0
199,"The article discusses a new and mysterious disease that is killing coral reefs and compares it to the Ebola virus. The disease is still undiagnosed, but it is having a devastating effect on coral reefs around the world."
200,"CNN Travel provides a winter holidays planner for 2019, including where to go, what to do, and how to save money."
201,"The state of Michigan has passed a law that allows adoption agencies to refuse to place children with same-sex couples, and to bar LGBTQ homes from adopting. The law also allows agencies to turn away LGBTQ couples who want to foster children."
202,"People should be aware of the dangers of vaping after the CDC found that there have been over 2,000 cases of lung injury, and 42 deaths, linked to e-cigarettes."
203,Costco jobs are not as easy as they seem. Dealing with annoying customers and their habits can be a challenge.
204,This Dublin Theatre is a glittery musical cabaret full of energy and irony. It is a story about a group of friends who are trying to find their place in the world.
205,"House Intelligence Committee Chairman Adam Schiff said Friday that the impeachment inquiry into President Donald Trump is ""not about politics,"" but rather about ""patriotism.""

""This is not about Democrats and Republicans. It's about patriotism,"" Schiff said in his opening remarks at the first public hearing of the impeachment inquiry."
206,The Scoop Collection at Walmart is a line of affordable clothing that is also stylish. Celebs like Jennifer Lopez and Khloe Kardashian have been seen wearing pieces from the collection.
207,"Startups raised on a wave of investor enthusiasm are now facing increased scrutiny. Juul, a e-cigarette company, and WeWork, a co-working space company, have both had their CEOs step down in the past week."
208,"More than 50 former national security officials have signed a letter declaring that President Donald Trump's actions toward Ukraine ""constitute an impeachable offense."" The letter, which was released Friday, was signed by officials who served under Republican and Democratic presidents."
209,"Bernardo Silva has been banned for one game and fined £50,000 for a tweet which compared teammate Benjamin Mendy to a character from a cartoon.

The Manchester City midfielder's social media post was found to be in breach of the FA's rules on discrimination."
210,"Some of the words that have been used the most in relation to the impeachment inquiry of President Trump are ""unprecedented,"" ""historic"" and ""bombshell."""
211,"The world's biggest consumer goods firms have been accused of driving a surge in global deforestation, with palm oil, soy, paper and wood products from companies such as Unilever, Nestle and Procter & Gamble linked to forest fires and clearance."
212,"President Hassan Rouhani of Iran said on Friday that he was open to meeting with President Trump if the United States lifted sanctions against his country, a day after Mr. Trump said he would be willing to meet with Iranian leaders “any time they want.”"
